CODIGO_ALERTA;FECHA_FORMULARIO;FORMULARIO;ROTULO;VALOR
ARAR-472.1;2022-05-16;1. EVALUACION DE ALERTAS MIRE2;Familias;33
ARAR-472.1;2022-05-16;1. EVALUACION DE ALERTAS MIRE2;Otros Municipios;No Aplica
ARAR-472.1;2022-05-16;1. EVALUACION DE ALERTAS MIRE2;Estado de la emergencia;EN ALERTA
ARAR-472.1;2022-05-16;1. EVALUACION DE ALERTAS MIRE2;Fecha de la alerta;2022-05-15
ARAR-472.1;2022-05-16;1. EVALUACION DE ALERTAS MIRE2;Departamento;ARAUCA
ARAR-472.1;2022-05-16;1. EVALUACION DE ALERTAS MIRE2;ARAUCA;ARAUCA
ARAR-472.1;2022-05-16;1. EVALUACION DE ALERTAS MIRE2;Vereda;Prueba
ARAR-472.1;2022-05-16;1. EVALUACION DE ALERTAS MIRE2;Nombre de la comunidad;Prueba
ARAR-472.1;2022-05-16;1. EVALUACION DE ALERTAS MIRE2;Urbano / Rural;urbano
ARAR-472.1;2022-05-16;1. EVALUACION DE ALERTAS MIRE2;Nombre de quien reporta;Prueba
ARAR-472.1;2022-05-16;1. EVALUACION DE ALERTAS MIRE2;Organización;Prueba
ARAR-472.1;2022-05-16;1. EVALUACION DE ALERTAS MIRE2;Origen de la informacion;InstitucEducat
ARAR-472.1;2022-05-16;1. EVALUACION DE ALERTAS MIRE2;Descripcion general de la alerta;Prueba
ARAR-472.1;2022-05-16;1. EVALUACION DE ALERTAS MIRE2;La alerta corresponde a :;EMERGENCIA
ARAR-472.1;2022-05-16;1. EVALUACION DE ALERTAS MIRE2;Tipo de emergencia;CONFINAMIENTO
ARAR-472.1;2022-05-16;1. EVALUACION DE ALERTAS MIRE2;Problematica principal;CONTROL NARCOTRAFICO
ARAR-472.1;2022-05-16;1. EVALUACION DE ALERTAS MIRE2;Fecha del evento;2022-05-09
ARAR-472.1;2022-05-16;1. EVALUACION DE ALERTAS MIRE2;Sectores en necesidad;proteccion
ARAR-472.1;2022-05-16;1. EVALUACION DE ALERTAS MIRE2;La necesidad mas sentida de la poblacion es;Prueba
ARAR-472.1;2022-05-16;1. EVALUACION DE ALERTAS MIRE2;Comunidades;33
ARAR-472.1;2022-05-16;1. EVALUACION DE ALERTAS MIRE2;Grupo etnico;indigena
ARAR-472.1;2022-05-16;1. EVALUACION DE ALERTAS MIRE2;¿Existen entidades presenten territorio quienes podria gestionar acciones de intervencion, sin tener que hacer intervencion por el consorcio?;no
ARAR-472.1;2022-05-16;1. EVALUACION DE ALERTAS MIRE2;¿Existe una respuesta por parte de las autoridades locales/regionales/gobierno nacional?;no
ARAR-472.1;2022-05-16;1. EVALUACION DE ALERTAS MIRE2;¿Existen otras organizaciones (del sistema de Naciones Unidas y/o ONG´s) presentes en el sitio en el que se presenta la emergencia?;no
ARAR-472.1;2022-05-16;1. EVALUACION DE ALERTAS MIRE2;Logistica;Prueba
ARAR-472.1;2022-05-16;1. EVALUACION DE ALERTAS MIRE2;Seguridad;Prueba
ARAR-472.1;2022-05-16;1. EVALUACION DE ALERTAS MIRE2;Coordinacion operativa;Prueba
ARAR-472.1;2022-05-16;1. EVALUACION DE ALERTAS MIRE2;Observaciones;Prueba
ARAR-472.1;2022-05-16;1. EVALUACION DE ALERTAS MIRE2;¿Esta emergencia se va a responder por parte del consorcio?;Este campo se completara por parte de operaciones del MIRE
ARAR-472.1;2022-05-16;1. EVALUACION DE ALERTAS MIRE2;Fecha del comite donde se define si se atiende o no;2020-01-01
ARAR-472.1;2022-05-16;1. EVALUACION DE ALERTAS MIRE2;Socio lider de la Respuesta;Este campo se completara por parte de operaciones del MIRE
ARAR-472.1;2022-05-16;1. EVALUACION DE ALERTAS MIRE2;Enlace de la FSA;A completar por la UGC
ARAR-472.1;2022-05-16;1. EVALUACION DE ALERTAS MIRE2;Observaciones operaciones UGC;Este campo se completara por parte de operaciones del MIRE
